"","species","decimallongitude","decimallatitude","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","tmin1","tmin10","tmin11","tmin12","tmin2","tmin3","tmin4","tmin5","tmin6","tmin7","tmin8","tmin9"
"1","Ginkgo_biloba",8.914032,49.136406,100,182,15,698,85,44,22,230,134,230,143,88,33,6494,244,-20,264,182,28,-20,60,21,-5,-12,13,48,84,119,136,130,102
"2","Ginkgo_biloba",13.404007,52.453918,91,177,0,564,70,33,22,185,109,185,126,81,29,6933,239,-34,273,177,42,-34,75,19,-13,-30,0,38,80,112,133,127,95
"3","Ginkgo_biloba",10.623735,49.023972,82,166,-6,724,90,44,25,252,138,252,146,86,32,6704,227,-40,267,166,7,-40,44,7,-25,-34,-6,31,70,103,120,116,86
"4","Ginkgo_biloba",12.441906,51.078739,87,172,2,541,64,31,25,188,100,188,104,81,31,6636,231,-30,261,172,11,-30,56,17,-13,-27,-1,32,76,110,127,122,93
"5","Ginkgo_biloba",6.17025,50.864223,97,168,25,854,84,57,12,247,184,247,200,75,33,5627,221,-3,224,168,55,-3,70,32,7,-1,19,43,79,111,128,128,105
"6","Ginkgo_biloba",8.809984,47.984882,81,161,-2,1017,111,67,20,329,203,329,219,91,34,6368,227,-40,267,161,10,-40,42,2,-28,-31,-6,24,62,96,114,109,82
"7","Ginkgo_biloba",8.595148,50.642109,85,165,4,776,74,49,11,215,168,205,188,79,31,6288,224,-27,251,150,43,-27,54,16,-12,-21,2,35,72,105,121,119,91
"8","Ginkgo_biloba",11.755114,51.065887,82,162,1,590,75,34,25,204,113,204,114,81,32,6312,223,-30,253,162,9,-28,46,12,-13,-30,-6,26,71,101,120,112,82
"9","Ginkgo_biloba",8.821077,54.781631,81,153,11,832,93,42,26,270,136,232,158,57,27,5654,194,-16,210,94,30,-12,70,32,8,-16,0,29,70,108,123,123,100
"10","Ginkgo_biloba",10.405663,53.252163,85,168,2,641,73,37,20,209,121,209,137,86,32,6467,231,-31,262,168,38,-31,51,19,-12,-31,-6,29,66,99,121,118,86
"11","Ginkgo_biloba",6.807859,51.153404,102,177,25,796,85,51,13,234,166,234,188,82,33,5926,236,-7,243,177,60,-7,66,35,7,-4,21,47,83,114,134,130,104
"12","Ginkgo_biloba",8.578262,50.110561,98,180,14,623,67,38,17,193,124,193,134,87,32,6453,244,-20,264,180,26,-20,58,22,-6,-14,11,45,83,117,133,128,98
"13","Ginkgo_biloba",7.349199,51.509369,95,168,21,836,83,52,13,239,173,239,205,77,33,5753,223,-9,232,168,54,-9,65,29,4,-6,16,42,80,110,129,123,98
"14","Ginkgo_biloba",7.333234,51.506321,94,167,20,848,84,53,13,242,176,242,208,76,32,5772,222,-10,232,167,53,-10,65,28,3,-7,15,42,80,109,128,123,98
"15","Ginkgo_biloba",13.529042,52.502377,90,177,-1,561,68,32,22,184,107,184,124,80,29,6943,237,-35,272,177,41,-35,75,19,-13,-30,-1,38,80,113,133,127,95
"16","Ginkgo_biloba",10.400537,53.253273,85,168,2,641,73,37,20,209,121,209,137,86,32,6467,231,-31,262,168,38,-31,51,19,-12,-31,-6,29,66,99,121,118,86
"17","Ginkgo_biloba",8.72263,50.120358,100,182,18,650,71,40,16,200,131,200,140,88,33,6371,248,-17,265,182,29,-17,58,24,0,-13,13,47,85,118,137,127,96
"18","Ginkgo_biloba",8.913345,49.136406,100,182,15,698,85,44,22,230,134,230,143,88,33,6494,244,-20,264,182,28,-20,60,21,-5,-12,13,48,84,119,136,130,102
"19","Ginkgo_biloba",8.916521,49.141293,100,182,15,698,85,44,22,230,134,230,143,88,33,6494,244,-20,264,182,28,-20,60,21,-5,-12,13,48,84,119,136,130,102
"20","Ginkgo_biloba",8.373176,49.423424,101,183,17,641,72,41,18,204,128,204,139,87,33,6459,246,-16,262,183,30,-16,60,24,-2,-9,14,48,86,121,137,132,102
"21","Ginkgo_biloba",13.439734,52.446922,91,178,0,561,69,32,22,184,108,184,124,81,29,6938,239,-34,273,178,42,-34,76,20,-13,-30,0,38,80,113,134,127,95
"22","Ginkgo_biloba",10.401467,53.251678,85,168,2,641,73,37,20,209,121,209,137,86,32,6467,231,-31,262,168,38,-31,51,19,-12,-31,-6,29,66,99,121,118,86
"23","Ginkgo_biloba",7.675581,48.07246,100,182,18,780,98,44,26,264,145,264,145,85,32,6379,246,-13,259,182,31,-13,63,22,-7,-6,17,46,85,118,137,133,104
"24","Ginkgo_biloba",8.655005,50.43055,87,168,5,735,71,46,12,208,157,202,173,81,31,6351,228,-27,255,153,45,-27,54,16,-11,-22,3,36,74,107,123,119,91
"25","Ginkgo_biloba",8.869057,53.103096,88,164,12,726,81,45,18,228,140,228,161,80,33,5948,220,-18,238,164,43,-18,61,24,-3,-17,3,32,71,102,120,118,92
"26","Ginkgo_biloba",6.152558,50.856216,98,169,26,843,83,56,12,244,181,244,196,75,33,5618,222,-2,224,169,56,-2,71,33,8,0,20,43,80,111,129,129,105
"27","Ginkgo_biloba",10.69356,53.87991,86,166,6,674,72,40,16,203,131,203,158,74,29,6296,222,-26,248,166,35,-24,61,26,-4,-26,-3,31,70,105,127,125,97
"28","Ginkgo_biloba",10.151367,52.537945,88,167,9,648,71,39,19,208,130,208,141,84,33,6160,227,-22,249,167,17,-21,54,22,-7,-22,-1,31,70,104,122,117,88
"29","Ginkgo_biloba",8.542986,49.243259,104,186,19,683,80,43,19,219,135,219,146,87,32,6513,249,-15,264,186,32,-15,64,25,-1,-6,17,51,89,123,140,135,106
"30","Ginkgo_biloba",8.910427,49.119053,98,180,14,714,87,45,22,236,137,236,146,88,33,6456,242,-21,263,180,26,-21,58,19,-6,-13,12,46,83,117,134,129,100
"31","Ginkgo_biloba",12.011962,51.619404,90,175,7,489,61,28,28,175,87,175,90,81,31,6534,233,-23,256,175,16,-23,56,20,-8,-22,1,34,78,112,131,126,93
"32","Ginkgo_biloba",10.835588,51.452923,83,164,1,578,73,33,24,196,108,196,109,82,32,6345,221,-32,253,164,9,-29,50,16,-12,-32,-7,26,68,101,122,117,87
"33","Ginkgo_biloba",10.110083,49.116177,83,166,-3,713,87,44,24,243,138,243,148,85,32,6571,227,-36,263,166,10,-36,46,7,-21,-30,-3,31,70,104,120,117,87
"34","Ginkgo_biloba",13.575454,52.538074,90,177,-1,559,68,31,22,185,106,185,121,80,29,6936,237,-35,272,177,41,-35,74,19,-13,-30,0,37,80,113,134,127,95
"35","Ginkgo_biloba",8.472895,49.957218,98,181,13,597,66,36,20,192,115,192,126,87,32,6540,245,-21,266,181,26,-21,58,22,-7,-13,11,46,84,118,134,130,101
"36","Ginkgo_biloba",10.123816,48.22406,81,166,-5,832,106,46,30,301,146,301,154,86,31,6651,228,-41,269,166,8,-41,44,3,-28,-33,-5,28,69,104,121,116,86
"37","Ginkgo_biloba",8.472865,49.957237,98,181,13,597,66,36,20,192,115,192,126,87,32,6540,245,-21,266,181,26,-21,58,22,-7,-13,11,46,84,118,134,130,101
"38","Ginkgo_biloba",13.62322,52.623585,88,175,-3,568,68,32,22,188,108,188,123,80,29,6920,235,-36,271,175,39,-36,72,18,-15,-32,-2,36,78,112,132,126,94
"39","Ginkgo_biloba",6.835299,51.171703,102,177,24,805,85,51,13,235,167,235,191,82,33,5957,236,-8,244,177,60,-8,67,35,7,-5,21,48,83,113,134,131,105
"40","Ginkgo_biloba",10.798982,54.090836,84,162,6,658,71,40,17,199,126,199,153,68,28,6173,212,-27,239,162,32,-22,67,28,-1,-27,-3,31,70,108,128,126,101
"41","Ginkgo_biloba",9.194698,47.705605,95,179,10,935,115,43,29,333,152,333,168,82,31,6620,242,-22,264,179,23,-22,63,17,-8,-15,11,40,81,115,137,133,105
"42","Ginkgo_biloba",8.534201,50.336338,82,162,0,777,74,50,11,215,165,214,189,79,31,6292,221,-31,252,147,39,-31,50,11,-16,-26,-2,31,69,102,118,115,87
"43","Ginkgo_biloba",13.401184,52.552281,90,177,-1,574,70,34,22,189,110,189,126,80,29,6914,237,-34,271,177,40,-34,73,19,-13,-30,-1,37,80,112,133,127,94
"44","Ginkgo_biloba",11.110949,49.463737,89,175,3,649,76,38,22,219,128,219,135,90,32,6705,240,-33,273,175,14,-33,44,9,-17,-28,-1,33,78,111,127,121,85
